,equity
2024-06-11,628.8670658052791
2024-06-12,627.7940674141175
2024-06-13,626.8047968449453
2024-06-14,627.8417588018622
2024-06-15,627.0498140105623
2024-06-16,627.5001574637577
2024-06-17,622.6217372111304
2024-06-18,623.4047915639165
2024-06-19,622.1647243786143
2024-06-20,622.5810170717925
2024-06-21,622.8439642052755
2024-06-22,622.7526534202143
2024-06-23,623.5319011355389
2024-06-24,625.4031085143545
2024-06-25,623.5666783311219
2024-06-26,624.9409571084884
2024-06-27,619.8917384756991
2024-06-28,623.6389619559895
2024-06-29,624.4066534657824
2024-06-30,620.4726524347096
2024-07-01,618.9331032210767
2024-07-02,616.659602522132
2024-07-03,619.4347900388827
2024-07-04,638.9361164771134
2024-07-05,642.1049705190287
2024-07-06,630.7906920439808
2024-07-07,644.71403750197
2024-07-08,635.6988992361901
2024-07-09,634.0011950054404
2024-07-10,631.8957976195861
2024-07-11,633.1806573471829
2024-07-12,626.8403769214094
2024-07-13,619.0425217995769
2024-07-14,614.087976564215
2024-07-15,609.6535015975118
2024-07-16,614.0105012652567
2024-07-17,616.0440493525118
2024-07-18,612.6460553860677
2024-07-19,616.8723009954523
2024-07-20,619.4099117595102
2024-07-21,624.4170887789674
2024-07-22,619.0684951498295
2024-07-23,615.4787481479254
2024-07-24,615.6069446667276
2024-07-25,614.2841618883165
2024-07-26,615.648484951711
2024-07-27,615.7736342265317
2024-07-28,615.8196334383658
2024-07-29,611.5064618768838
2024-07-30,615.199414384686
2024-07-31,615.3964535472685
2024-08-01,611.1295480465973
2024-08-02,612.5662783601072
2024-08-03,615.408626981775
2024-08-04,622.5750173619846
2024-08-05,633.3550070766166
2024-08-06,628.158298301286
2024-08-07,631.2087600491163
2024-08-08,614.4895328498324
2024-08-09,613.9866634650743
2024-08-10,613.2473076834848
2024-08-11,621.3671533809239
2024-08-12,614.6077419948674
2024-08-13,614.1925009317697
2024-08-14,616.185857356281
2024-08-15,619.4786408630453
2024-08-16,619.3532585598837
2024-08-17,615.9227560033756
2024-08-18,617.2442995416635
2024-08-19,613.6981937424372
2024-08-20,613.8354814425732
2024-08-21,610.1299306653897
2024-08-22,609.813100043206
2024-08-23,605.0262573032546
2024-08-24,602.5605097546251
2024-08-25,603.8020491537526
2024-08-26,602.7591591770305
2024-08-27,603.78621078157
2024-08-28,603.7656268224571
2024-08-29,603.2906388192065
2024-08-30,603.2611219444395
2024-08-31,604.6741796355277
