,equity
2023-12-30,660.6570390543869
2023-12-31,656.3544343338319
2024-01-01,681.221728344186
2024-01-02,670.3238673688641
2024-01-03,637.611571573012
2024-01-04,655.175839059309
2024-01-05,636.3681227031142
2024-01-06,620.7909898904903
2024-01-07,607.0788543870749
2024-01-08,622.6578926360307
2024-01-09,626.1518631655464
2024-01-10,635.343225415903
2024-01-11,633.7593084161614
2024-01-12,615.7904474748814
2024-01-13,623.7054929913966
2024-01-14,615.8598382497319
2024-01-15,621.1513119798387
2024-01-16,627.9065247246197
2024-01-17,633.2288626385033
2024-01-18,619.8117381564729
2024-01-19,621.9515355929241
2024-01-20,618.9842070230112
2024-01-21,616.2929259660659
2024-01-22,598.7781211280849
2024-01-23,591.9739318953845
2024-01-24,590.7024941423261
2024-01-25,589.9595080221562
2024-01-26,588.9474714157241
2024-01-27,589.3183648101622
2024-01-28,589.0759181037027
2024-01-29,588.3611935947614
2024-01-30,589.6345827971772
2024-01-31,586.5406915997901
2024-02-01,586.7808903509357
2024-02-02,588.7367227948824
2024-02-03,587.1172500718419
2024-02-04,590.3591490512221
2024-02-05,591.6215041509536
2024-02-06,588.354877452356
2024-02-07,591.2070170947641
2024-02-08,590.9108645944668
2024-02-09,594.7655496415201
2024-02-10,597.5565855019837
2024-02-11,599.3275828596367
2024-02-12,607.1846998599398
2024-02-13,605.1735576572868
2024-02-14,612.6424192765281
2024-02-15,614.6089662065863
2024-02-16,613.3573221055826
2024-02-17,612.1173832494908
2024-02-18,615.8686791018678
2024-02-19,617.2027281848078
2024-02-20,617.4866828212176
2024-02-21,615.7212422533763
2024-02-22,613.3486552009704
2024-02-23,608.5025258928908
2024-02-24,614.6562947382866
2024-02-25,619.2078724917391
2024-02-26,627.1092201204339
2024-02-27,631.63318855498
2024-02-28,638.5187647186282
2024-02-29,638.1598867029687
2024-03-01,650.5165222410127
2024-03-02,655.9719375712942
2024-03-03,655.4990161665803
2024-03-04,664.4478069666828
2024-03-05,635.9092090750427
2024-03-06,654.75007842316
2024-03-07,670.074680878522
2024-03-08,670.5444239457984
2024-03-09,673.0344087253277
2024-03-10,682.1643397109351
2024-03-11,684.7537552424038
2024-03-12,684.1383587225624
